Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link0,6.12497638641969E-05,-0.000223185372968983,0.0451250845243685,0,0,0,0.187811134048234,0.000410447827698303,-1.83967207207471E-06,7.3863306477592E-06,0.00040849066760795,9.28078640227964E-07,0.000400922840502194,0,0,0,0,0,0,package://tcb705/meshes/link0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb705/meshes/link0.STL,,底座-2,tl_robot_link0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-1.47467364543795E-05,-0.0147035745838852,0.0741700653739531,0,0,0,0.14078274314442,0.000389165158363872,7.76850517532584E-09,-3.45965366455443E-08,0.000404601054210795,5.39676858807365E-05,0.000158801770197842,0,0,0,0,0,0,package://tcb705/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb705/meshes/link1.STL,,外壳1-1,tl_robot_link1,"tl_robot_link1 ",joint1,revolute,0,0,0.11555,0,0,0,link0,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
link2,1.18295279500075E-05,-0.0560587581728315,0.0115242663758965,0,0,0,0.124446077657511,0.000370542801783092,-3.15522771098287E-08,-1.29774872107508E-08,0.000121234445607782,-7.13334483668475E-05,0.000380138150030635,0,0,0,0,0,0,package://tcb705/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb705/meshes/link2.STL,,外壳2-1,tl_robot_link2,"tl_robot_link2 ",joint2,revolute,0,0.00715,0.12745,-1.5708,0,0,link1,0,0,1,0,0,-2.4086,2.4086,,,,,,,,
link3,-0.000130315367396243,0.012989378129837,0.0728737419606885,0,0,0,0.114586309112406,0.000277973822745621,-1.69575018448269E-07,9.68300993793602E-07,0.000287452307059737,-3.76355077112795E-05,9.7208783785071E-05,0,0,0,0,0,0,package://tcb705/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb705/meshes/link3.STL,,外壳3-1,tl_robot_link3,"tl_robot_link3 ",joint3,revolute,0,-0.14065,-0.00735,1.5708,0,0,link2,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
link4,0.0577535050715666,-6.48637557892906E-06,-0.0087847240031295,0,0,0,0.0945260952125154,6.42616764244646E-05,5.30816342122012E-08,-4.60316588385269E-05,0.00023778588437789,1.06494694888349E-09,0.000240859360084788,0,0,0,0,0,0,package://tcb705/meshes/link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb705/meshes/link4.STL,,外壳4-1,tl_robot_link4,"tl_robot_link4 ",joint4,revolute,0,-0.00815,0.12915,-1.5708,0,0,link3,0,0,1,0,0,-2.4958,2.4958,,,,,,,,
link5,-1.01232852853794E-05,-0.0129940541079985,-0.055292328516055,0,0,0,0.0720846800043471,0.000105414944580743,-1.21111726893831E-08,2.4845732350999E-09,0.000106134718544586,-1.86457221244631E-05,4.55695074568223E-05,0,0,0,0,0,0,package://tcb705/meshes/link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb705/meshes/link5.STL,,外壳5-1,tl_robot_link5,"tl_robot_link5 ",joint5,revolute,0.13665,0,0.00835,1.5708,0,-1.5708,link4,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
link6,-0.0369306233333042,-1.16840006222918E-06,-0.0120182245017981,0,0,0,0.0641133113178346,4.10035418696744E-05,7.62864146260834E-09,2.10915460868567E-05,9.8803004000802E-05,3.02303356276864E-09,9.73770727972659E-05,0,0,0,0,0,0,package://tcb705/meshes/link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb705/meshes/link6.STL,,外壳6-1,tl_robot_link6,"tl_robot_link6 ",joint6,revolute,0,0.00365,-0.09315,1.5708,0,0,link5,0,0,1,0,0,-2.3213,2.3213,,,,,,,,
link7,-0.000444011264910449,0.000118974846148791,-0.0238166943512346,0,0,0,0.0530857040675618,3.09105515779773E-05,-1.17232489242E-08,2.37155739689541E-07,3.18622235878384E-05,-6.46512577984948E-08,3.41310109263229E-05,0,0,0,0,0,0,package://tcb705/meshes/link7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb705/meshes/link7.STL,,末 端-1,"tl_robot_link7  ","tl_robot_link7 ",joint7,revolute,-0.1528,0,0.00385,1.5708,0,-1.5708,link6,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
