Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
tl_robot_link0,-0.00203916786698491,0.000208461233542917,0.0437970464318419,0,0,0,0.230943297728628,0.000578857931988575,2.49644295158469E-06,-3.6276199422181E-06,0.000597326060992721,8.87603974516222E-07,0.000630268815467387,0,0,0,0,0,0,package://tcb710_v/meshes/tl_robot_link0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb710_v/meshes/tl_robot_link0.STL,,底座 -1,tl_robot_link0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
tl_robot_link1,-2.82592835967022E-06,-0.0149440554612562,0.0760738628611228,0,0,0,0.188795049535535,0.000644330974536614,5.55804168466963E-08,-5.40921744937906E-08,0.000669839544820847,0.000101917330586459,0.000292784373513458,0,0,0,0,0,0,package://tcb710_v/meshes/tl_robot_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb710_v/meshes/tl_robot_link1.STL,,外壳 1-1,tl_robot_link1,"tl_robot_link1 ",tl_robot_joint1,revolute,0,0,0.12215,0,0,0,tl_robot_link0,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
tl_robot_link2,-1.20347801173379E-05,-0.0623096534981243,0.0137313757510769,0,0,0,0.167852810050995,0.000623582919856085,-1.02023977094873E-07,-2.62605885954612E-08,0.000204004006193839,-9.63924565522136E-05,0.00065392663703825,0,0,0,0,0,0,package://tcb710_v/meshes/tl_robot_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb710_v/meshes/tl_robot_link2.STL,,外壳 2-1,tl_robot_link2,"tl_robot_link2 ",tl_robot_joint2,revolute,0,0.00665,0.14085,-1.5708,0,0,tl_robot_link1,0,0,1,0,0,-2.3737,2.3737,,,,,,,,
tl_robot_link3,5.13666316999514E-06,0.0163972808307603,0.0859507480560348,0,0,0,0.168577544685975,0.000629527752495382,-2.01711688596782E-08,-6.31356384478896E-08,0.000646662287748903,-9.33674458346499E-05,0.000173965245336742,0,0,0,0,0,0,package://tcb710_v/meshes/tl_robot_link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb710_v/meshes/tl_robot_link3.STL,,外壳 4-1,tl_robot_link3,"tl_robot_link3 ",tl_robot_joint3,revolute,0,-0.16015,-0.00665,1.5708,0,0,tl_robot_link2,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
tl_robot_link4,2.74581164050521E-06,0.0654996487889736,0.0144299040039494,0,0,0,0.145368242339251,0.000526467477621817,2.65506656483807E-08,8.84217160984476E-09,0.000131598082486834,7.17192955212241E-05,0.000544513479543757,0,0,0,0,0,0,package://tcb710_v/meshes/tl_robot_link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb710_v/meshes/tl_robot_link4.STL,,外壳 5-1,tl_robot_link4,"tl_robot_link4 ",tl_robot_joint4,revolute,0,-0.00515,0.16035,1.5708,0,0,tl_robot_link3,0,0,-1,0,0,-2.5656,2.5656,,,,,,,,
tl_robot_link5,5.11048010615453E-06,-0.0131445598588105,0.0626746043886207,0,0,0,0.0899817886579456,0.000204808490641904,1.16223798610192E-08,-4.07644793992788E-08,0.00020796973802648,3.60478115182964E-05,7.75189800149226E-05,0,0,0,0,0,0,package://tcb710_v/meshes/tl_robot_link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb710_v/meshes/tl_robot_link5.STL,,外壳 7-1,tl_robot_link5,"tl_robot_link5 ",tl_robot_joint5,revolute,0,0.16615,-0.00515,-1.5708,0,0,tl_robot_link4,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
tl_robot_link6,-1.29749983042458E-05,-0.0398707312600499,0.00873816110028396,0,0,0,0.0915266768417848,0.000167005961446431,3.62631341368022E-08,1.27355290245972E-08,8.07130413912579E-05,-3.15887030571508E-05,0.00017083472167683,0,0,0,0,0,0,package://tcb710_v/meshes/tl_robot_link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb710_v/meshes/tl_robot_link6.STL,,外壳 8-1,tl_robot_link6,"tl_robot_link6 ",tl_robot_joint6,revolute,0,0.00615,0.11335,-1.5708,0,0,tl_robot_link5,0,0,1,0,0,-2.2689,2.2689,,,,,,,,
tl_robot_link7,-0.0287892705115615,-5.42700382273886E-05,0.0373502804031285,0,0,0,0.125131844891566,0.000100142378024278,1.95738644722882E-07,2.86300184738003E-05,0.000255794106379091,-1.08179624876873E-08,0.000294395148872123,0,0,0,0,0,0,package://tcb710_v/meshes/tl_robot_link7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb710_v/meshes/tl_robot_link7.STL,,末端-2,tl_robot_link7,"tl_robot_link7 ",tl_robot_joint7,revolute,0,-0.10615,-0.00615,1.5708,0,0,tl_robot_link6,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
camera_link,0.00587064810100446,0.00117308166560338,0.012484380916695,0,0,0,0.0471699656660943,2.87281209035666E-05,4.20816223162563E-07,-4.33349878973852E-09,4.39204835572997E-06,-5.84035676253947E-10,2.89731252406548E-05,0,0,0,0,0,0,package://tcb710_v/meshes/camera_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb710_v/meshes/camera_link.STL,,相机-1,camera_link,,camera_joint,fixed,-0.078,0,0.046631,0,-1.5708,0,tl_robot_link7,0,0,0,,,,,,,,,,,,
