Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link0,-0.00203916786698491,0.000208461233542917,0.0437970464318419,0,0,0,0.230943297728628,0.000578857931988569,2.49644295159147E-06,-3.6276199422181E-06,0.000597326060992739,8.87603974516229E-07,0.0006302688154674,0,0,0,0,0,0,package://tcb605lv/meshes/link0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb605lv/meshes/link0.STL,,底座 -1,tl_robot_link0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-2.82592835967246E-06,-0.0149440554612562,0.0760738628611228,0,0,0,0.188795049535535,0.000644330974536614,5.5580416846699E-08,-5.40921744938001E-08,0.000669839544820847,0.000101917330586459,0.000292784373513458,0,0,0,0,0,0,package://tcb605lv/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb605lv/meshes/link1.STL,,外壳 1-1,tl_robot_link1,"tl_robot_link1 ",joint1,revolute,0,0,0.12215,0,0,0,link0,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
link2,-1.94339017576278E-06,0.253141084131434,-0.00221954159481741,0,0,0,0.697362175861507,0.0148340159046899,-5.08235530092336E-07,3.15104179556881E-08,0.000910925446251546,-0.000125255790475071,0.0148212951328787,0,0,0,0,0,0,package://tcb605lv/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb605lv/meshes/link2.STL,,外壳 2-1;外壳 3-1;外壳 4-1,tl_robot_link2,"tl_robot_link2 ",joint2,revolute,0,0.00665,0.14085,1.5708,0,0,link1,0,0,1,0,0,-2.3737,2.3737,,,,,,,,
link3,-4.72301629694805E-07,-0.190684771351565,0.00158653308007766,0,0,0,0.422517247895088,0.00489098844498322,9.21912965391628E-08,-2.34885177144892E-09,0.000427800513977296,-0.000428033810758325,0.00487247156937646,0,0,0,0,0,0,package://tcb605lv/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb605lv/meshes/link3.STL,,外壳 5-2;外壳 6-2,tl_robot_link3,"tl_robot_link3 ",joint3,revolute,0,0.5195,0.0118,0,0,1.5708,link2,0,0,1,0,0,-2.5656,2.5656,,,,,,,,
link4,-5.09041704832569E-06,0.0131445030382286,0.06267452222222,0,0,0,0.0899815381835029,0.000204808170493513,1.15809288352626E-08,4.0698625874143E-08,0.000207969515719354,-3.60476541258041E-05,7.751883986058E-05,0,0,0,0,0,0,package://tcb605lv/meshes/link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb605lv/meshes/link4.STL,,外壳 7-2,tl_robot_link4,"tl_robot_link4 ",joint4,revolute,0,-0.36715,-0.00515,1.5708,0,0,link3,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
link5,-0.039870713515424,1.29640334527448E-05,0.00873817260996291,0,0,0,0.0915267307351733,8.0713088798166E-05,-3.62293548585109E-08,-3.1588735111645E-05,0.000167006031062903,-1.27090288820104E-08,0.000170834795985533,0,0,0,0,0,0,package://tcb605lv/meshes/link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb605lv/meshes/link5.STL,,外壳 8-2,tl_robot_link5,"tl_robot_link5 ",joint5,revolute,0,-0.00615,0.11335,1.5708,0,0,link4,0,0,1,0,0,-2.2689,2.2689,,,,,,,,
link6,0.0456847640482927,-8.93653981464731E-05,-0.013851734676169,0,0,0,0.172279547491106,0.000136996299151724,2.46315851520808E-06,-6.06548296718063E-05,0.000398400904894817,1.44296727106075E-07,0.000453491802678393,0,0,0,0,0,0,package://tcb605lv/meshes/link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb605lv/meshes/link6.STL,,末 端-1,tl_robot_link6,"tl_robot_link6 ",joint6,revolute,-0.1615,0,-0.006025,-1.5708,-0.0013814,1.5708,link5,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
camera_link,0.00587064733882436,0.00117311941810132,0.0124843774752632,0,0,0,0.0471700197811821,2.87281832110709E-05,4.20817635729171E-07,-4.33349077164788E-09,4.39204771944353E-06,-5.78221440988259E-10,2.89731881794558E-05,0,0,0,0,0,0,package://tcb605lv/meshes/camera_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb605lv/meshes/camera_link.STL,,相机-1,camera_link,,camera_joint,fixed,0.078,0.00023277,-0.0087187,0.0013814,-1.5708,0,link6,0,0,0,,,,,,,,,,,,
