Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link0,-0.0020391678669849,0.000208461233542916,0.043797046431842,0,0,0,0.230943297728627,0.00057885793198858,2.49644295158404E-06,-3.62761994221811E-06,0.000597326060992728,8.87603974516216E-07,0.000630268815467399,0,0,0,0,0,0,package://tcb710v/meshes/link0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb710v/meshes/link0.STL,,底座 -1,tl_robot_link0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-2.82592835966573E-06,-0.0149440554612562,0.0760738628611228,0,0,0,0.188795049535535,0.000644330974536614,5.55804168467177E-08,-5.40921744938158E-08,0.000669839544820846,0.000101917330586459,0.000292784373513458,0,0,0,0,0,0,package://tcb710v/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb710v/meshes/link1.STL,,外壳 1-1,tl_robot_link1,"tl_robot_link1 ",joint1,revolute,0,0,0.12215,0,0,0,link0,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
link2,-1.20347801173391E-05,-0.0623096534981243,0.0137313757510769,0,0,0,0.167852810050995,0.000623582919856085,-1.02023977094882E-07,-2.62605885954627E-08,0.000204004006193839,-9.63924565522137E-05,0.00065392663703825,0,0,0,0,0,0,package://tcb710v/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb710v/meshes/link2.STL,,外壳 2-1,tl_robot_link2,"tl_robot_link2 ",joint2,revolute,0,0.00665,0.14085,-1.5708,0,0,link1,0,0,1,0,0,-2.3737,2.3737,,,,,,,,
link3,5.18146686592063E-06,0.0163972367026016,0.0859506159325998,0,0,0,0.168577102290271,0.000629526320447063,-2.0304024617751E-08,-6.35128891833837E-08,0.000646660868683645,-9.33670770732661E-05,0.000173964987041362,0,0,0,0,0,0,package://tcb710v/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb710v/meshes/link3.STL,,外壳 4-1,tl_robot_link3,"tl_robot_link3 ",joint3,revolute,0,-0.16015,-0.00665,1.5708,0,0,link2,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
link4,0.065499659351994,2.76494201778554E-06,-0.0144299008396883,0,0,0,0.14536834969005,0.000131598162570445,2.65083133089721E-08,-7.17193211459111E-05,0.000526467550605314,-8.8551318802885E-09,0.000544513615751543,0,0,0,0,0,0,package://tcb710v/meshes/link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb710v/meshes/link4.STL,,外壳 5-1,tl_robot_link4,"tl_robot_link4 ",joint4,revolute,0,-0.00515,0.16035,-1.5708,0,0,link3,0,0,1,0,0,-2.5656,2.5656,,,,,,,,
link5,-5.11053865881461E-06,-0.0131445599014293,-0.0626746043751803,0,0,0,0.089981788677737,0.000204808490365052,-1.1622257166313E-08,-4.07643004767559E-08,0.000207969738316151,-3.60478114246133E-05,7.75189799125009E-05,0,0,0,0,0,0,package://tcb710v/meshes/link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb710v/meshes/link5.STL,,外壳 7-1,tl_robot_link5,"tl_robot_link5 ",joint5,revolute,0.16615,0,0.00515,1.5708,0,-1.5708,link4,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
link6,-0.0398707312600405,-1.29749997272444E-05,-0.00873816110128991,0,0,0,0.0915266768417735,8.0713041391209E-05,3.62631341314048E-08,3.15887030570785E-05,0.000167005961446436,-1.27355290214368E-08,0.000170834721676875,0,0,0,0,0,0,package://tcb710v/meshes/link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb710v/meshes/link6.STL,,外壳 8-1,tl_robot_link6,"tl_robot_link6 ",joint6,revolute,0,0.00615,-0.11335,1.5708,0,0,link5,0,0,1,0,0,-2.2689,2.2689,,,,,,,,
link7,0.0456847637278899,-8.93651718985325E-05,-0.0138517347307595,0,0,0,0.172279546305211,0.000136996297582864,2.46315674141387E-06,-6.06548292485205E-05,0.000398400902288599,1.44296436244781E-07,0.000453491798648841,0,0,0,0,0,0,package://tcb710v/meshes/link7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb710v/meshes/link7.STL,,末 端-1,tl_robot_link7,"tl_robot_link7 ",joint7,revolute,-0.1615,0,0.006025,1.5708,0.0013814,-1.5708,link6,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
camera_link,0.0124843809235488,-0.00117308084450395,0.00587064815044203,0,0,0,0.0471699643529892,2.89731237351343E-05,5.84027754800684E-10,-4.33349809457694E-09,4.39204834930741E-06,-4.20816144299462E-07,2.87281194018569E-05,0,0,0,0,0,0,package://tcb710v/meshes/camera_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb710v/meshes/camera_link.STL,,相机-1,camera_link,Axis_camera_joint,camera_joint,fixed,0.0779999255759338,0.000232768493115401,-0.00871872165882459,0,0,0.00138141582877064,link7,0,0,0,,,,,,,,,,,,
