Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
tl_robot_link0,-0.0020391678669849,0.000208461233542918,0.0437970464318419,0,0,0,0.230943297728628,0.000578857931988568,2.4964429515846E-06,-3.62761994221812E-06,0.000597326060992728,8.87603974516217E-07,0.000630268815467388,0,0,0,0,0,0,package://tcb610/meshes/tl_robot_link0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb610/meshes/tl_robot_link0.STL,,底座 -1,tl_robot_link0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
tl_robot_link1,-2.8259283596747E-06,-0.0149440554612562,0.0760738628611228,0,0,0,0.188795049535535,0.000644330974536614,5.55804168466963E-08,-5.40921744937873E-08,0.000669839544820847,0.000101917330586459,0.000292784373513458,0,0,0,0,0,0,package://tcb610/meshes/tl_robot_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb610/meshes/tl_robot_link1.STL,,外壳 1-1,tl_robot_link1,"tl_robot_link1 ",tl_robot_joint1,revolute,0,0,0.12215,0,0,0,tl_robot_link0,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
tl_robot_link2,-3.41557976948607E-06,-0.154403021433948,0.0117350233964887,0,0,0,0.336430035256786,0.00409550966536826,2.27297893015086E-07,-4.07589463639515E-08,0.000379304151063669,-6.4612439746862E-05,0.00414165289962892,0,0,0,0,0,0,package://tcb610/meshes/tl_robot_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb610/meshes/tl_robot_link2.STL,,外壳 2-1;外壳 4-1,tl_robot_link2,"tl_robot_link2 ",tl_robot_joint2,revolute,0,0.00665,0.14085,-1.5708,0,0,tl_robot_link1,0,0,-1,0,0,-2.3737,2.3737,,,,,,,,
tl_robot_link3,2.74481746994064E-06,0.065499648512279,0.0144299040479778,0,0,0,0.145368246128048,0.000526467481082564,2.65464402133674E-08,8.84179853188939E-09,0.000131598077920685,7.17192965076357E-05,0.000544513478137754,0,0,0,0,0,0,package://tcb610/meshes/tl_robot_link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb610/meshes/tl_robot_link3.STL,,外壳 5-1,tl_robot_link3,"tl_robot_link3 ",tl_robot_joint3,revolute,0,-0.3205,-0.0118,3.1416,0,0,tl_robot_link2,0,0,1,0,0,-2.5656,2.5656,,,,,,,,
tl_robot_link4,5.09035849398104E-06,-0.0131445029955622,0.0626745222356143,0,0,0,0.0899815381638705,0.000204808170770652,1.15810515435477E-08,-4.0698804813627E-08,0.000207969515429875,3.60476542196075E-05,7.75188399631723E-05,0,0,0,0,0,0,package://tcb610/meshes/tl_robot_link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb610/meshes/tl_robot_link4.STL,,外壳 7-1,tl_robot_link4,"tl_robot_link4 ",tl_robot_joint4,revolute,0,0.16615,-0.00515,-1.5708,0,0,tl_robot_link3,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
tl_robot_link5,-1.29749982976207E-05,-0.0398707312600616,0.00873816110028223,0,0,0,0.0915266768417461,0.000167005961446374,3.62631341230194E-08,1.27355290243352E-08,8.07130413912459E-05,-3.15887030571337E-05,0.000170834721676769,0,0,0,0,0,0,package://tcb610/meshes/tl_robot_link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb610/meshes/tl_robot_link5.STL,,外壳 8-1,tl_robot_link5,"tl_robot_link5 ",tl_robot_joint5,revolute,0,0.00615,0.11335,-1.5708,0,0,tl_robot_link4,0,0,1,0,0,-2.2689,2.2689,,,,,,,,
tl_robot_link6,-0.000399244210043394,-8.96781331540938E-05,0.0324677284599193,0,0,0,0.0756964619305608,5.73362607159586E-05,-4.71066536653812E-09,3.25485729113061E-07,5.76036490584805E-05,1.43757810045802E-08,7.09151369147825E-05,0,0,0,0,0,0,package://tcb610/meshes/tl_robot_link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb610/meshes/tl_robot_link6.STL,,末 端-2,tl_robot_link6,"tl_robot_link6 ",tl_robot_joint6,revolute,0,-0.10615,-0.00615,1.5708,0,0,tl_robot_link5,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
