Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link0,0.000708831292588154,-8.6107534914906E-05,0.0437241147546662,0,0,0,0.184997778677384,0.000408655880224899,-6.47925326858513E-07,3.45905947380277E-06,0.000402045698173365,-4.42033155327603E-07,0.000394929591269372,0,0,0,0,0,0,package://tcb705f/meshes/link0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb705f/meshes/link0.STL,,底座-1,tl_robot_link0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-1.47467364543795E-05,-0.0147035745839652,0.0741700653729861,0,0,0,0.14078274314442,0.000389165158363872,7.76850517532585E-09,-3.45965366455427E-08,0.000404601054210795,5.39676858807366E-05,0.000158801770197842,0,0,0,0,0,0,package://tcb705f/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb705f/meshes/link1.STL,,外壳1-1,tl_robot_link1,"tl_robot_link1 ",joint1,revolute,0,0,0.11455,0,0,0,link0,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
link2,8.61535459727668E-06,-0.0560508787266447,0.0117257364090613,0,0,0,0.124463620303859,0.000370601578271224,-9.27831105610943E-09,-9.42550206191649E-09,0.000121246909389466,-7.13455520508631E-05,0.000380204304484532,0,0,0,0,0,0,package://tcb705f/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb705f/meshes/link2.STL,,外壳2-1,tl_robot_link2,"tl_robot_link2 ",joint2,revolute,0,0.00715,0.12745,-1.5708,0,0,link1,0,0,1,0,0,-2.4086,2.4086,,,,,,,,
link3,-0.000129631315123078,0.0129892407646547,0.0730749657672627,0,0,0,0.114590469364388,0.000277982717731438,-1.69536546152647E-07,9.64200178666299E-07,0.000287463601314177,-3.76358084293264E-05,9.72113083114316E-05,0,0,0,0,0,0,package://tcb705f/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb705f/meshes/link3.STL,,外壳3-1,tl_robot_link3,"tl_robot_link3 ",joint3,revolute,0,-0.14065,-0.00715,1.5708,0,0,link2,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
link4,0.0577535050722116,-6.48637250616479E-06,-0.00898472398684805,0,0,0,0.0945260952124961,6.42616764244558E-05,5.30816342811742E-08,-4.60316588385103E-05,0.000237785884377827,1.0649469511716E-09,0.000240859360084722,0,0,0,0,0,0,package://tcb705f/meshes/link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb705f/meshes/link4.STL,,外壳4-1,tl_robot_link4,"tl_robot_link4 ",joint4,revolute,0,-0.00815,0.12935,-1.5708,0,0,link3,0,0,1,0,0,-2.4958,2.4958,,,,,,,,
link5,-1.01576500798339E-05,-0.0129940460625446,-0.0554922926187578,0,0,0,0.0720848693646564,0.000105414971531602,-1.21042676072271E-08,2.50153804601233E-09,0.000106134759361018,-1.86457228517019E-05,4.55695497865811E-05,0,0,0,0,0,0,package://tcb705f/meshes/link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb705f/meshes/link5.STL,,外壳5-1,tl_robot_link5,"tl_robot_link5 ",joint5,revolute,0.13665,0,0.00815,1.5708,0,-1.5708,link4,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
link6,-0.036930522856271,-1.0365583421601E-06,-0.0122183580425973,0,0,0,0.0641139372794299,4.10038205081249E-05,7.53017552323075E-09,2.10916544931274E-05,9.88032590184974E-05,3.16811685296408E-09,9.73772733093268E-05,0,0,0,0,0,0,package://tcb705f/meshes/link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb705f/meshes/link6.STL,,外壳6-1,tl_robot_link6,"tl_robot_link6 ",joint6,revolute,0,0.00365,-0.09335,1.5708,0,0,link5,0,0,1,0,0,-2.3213,2.3213,,,,,,,,
link7,-0.00018765260700726,3.81811307326729E-05,-0.0324174241261512,0,0,0,0.126841500013134,0.000104196465102671,-1.52208633371926E-08,-2.97327692991446E-07,0.000105247822335002,3.4027528942263E-08,6.69703542124938E-05,0,0,0,0,0,0,package://tcb705f/meshes/link7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb705f/meshes/link7.STL,,末端-2,tl_robot_link7,"tl_robot_link7 ",joint7,revolute,-0.1855,0,0.00365,1.5708,0,-1.5708,link6,0,0,1111,0,0,-3.1416,3.1416,,,,,,,,
