Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link0,-0.0020391678669849,0.000208461233542917,0.0437970464318419,0,0,0,0.230943297728628,0.000578857931988572,2.49644295158403E-06,-3.62761994221813E-06,0.000597326060992728,8.87603974516211E-07,0.000630268815467392,0,0,0,0,0,0,package://tcb610/meshes/link0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb610/meshes/link0.STL,,底座 -1,tl_robot_link0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-2.82592835967698E-06,-0.0149440554612562,0.0760738628611229,0,0,0,0.188795049535535,0.000644330974536614,5.5580416846704E-08,-5.40921744937685E-08,0.000669839544820847,0.000101917330586459,0.000292784373513458,0,0,0,0,0,0,package://tcb610/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb610/meshes/link1.STL,,外壳 1-1,tl_robot_link1,"tl_robot_link1 ",joint1,revolute,0,0,0.12215,0,0,0,link0,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
link2,-3.41499887095105E-06,0.154403018882071,-0.0117350233716899,0,0,0,0.336430028750154,0.00409550955481811,-2.27323080313501E-07,4.07590009581096E-08,0.000379304145451206,-6.46124398304674E-05,0.00414165278260098,0,0,0,0,0,0,package://tcb610/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb610/meshes/link2.STL,,外壳 2-1;外壳 4-1,tl_robot_link2,"tl_robot_link2 ",joint2,revolute,0,0.00665,0.14085,1.5708,0,0,link1,0,0,1,0,0,-2.3737,2.3737,,,,,,,,
link3,-2.75097287749659E-06,-0.0654996449646542,0.0144299061513071,0,0,0,0.145368275010407,0.000526467492614225,2.65630070533986E-08,-8.83393851017443E-09,0.000131598103743421,-7.17193011658269E-05,0.000544513509321361,0,0,0,0,0,0,package://tcb610/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb610/meshes/link3.STL,,外壳 5-1,tl_robot_link3,"tl_robot_link3 ",joint3,revolute,0,0.3205,0.0118,0,0,1.5708,link2,0,0,1,0,0,-2.5656,2.5656,,,,,,,,
link4,-5.11720254758874E-06,0.0131445629598491,0.0626746095636407,0,0,0,0.0899818114825246,0.000204808501954044,1.16327137559445E-08,4.07773249225712E-08,0.000207969757871977,-3.60478177498198E-05,7.7518994163839E-05,0,0,0,0,0,0,package://tcb610/meshes/link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb610/meshes/link4.STL,,外壳 7-1,tl_robot_link4,"tl_robot_link4 ",joint4,revolute,0,-0.16615,-0.00515,1.5708,0,0,link3,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
link5,-0.0398707312600496,1.29749997275774E-05,0.00873816110129229,0,0,0,0.0915266768417224,8.07130413911804E-05,-3.62631341389975E-08,-3.15887030570593E-05,0.000167005961446355,-1.27355290249106E-08,0.000170834721676796,0,0,0,0,0,0,package://tcb610/meshes/link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb610/meshes/link5.STL,,外壳 8-1,tl_robot_link5,"tl_robot_link5 ",joint5,revolute,0,-0.00615,0.11335,1.5708,0,0,link4,0,0,1,0,0,-2.2689,2.2689,,,,,,,,
link6,-0.000399705602869616,9.94872866117398E-05,-0.0228874675567848,0,0,0,0.0756542825219787,5.73054421173184E-05,-1.04282535694342E-08,3.32573952167358E-07,5.75712974133905E-05,-2.01879254767613E-08,7.08609629016023E-05,0,0,0,0,0,0,package://tcb610/meshes/link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb610/meshes/link6.STL,,末 端-1,tl_robot_link6,"tl_robot_link6 ",joint6,revolute,-0.1615,0,-0.00615,-1.5708,0,1.5708,link5,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
