Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
tl_robot_link0,-0.00203916786698491,0.000208461233542917,0.0437970464318419,0,0,0,0.230943297728628,0.000578857931988569,2.49644295158404E-06,-3.6276199422181E-06,0.000597326060992728,8.87603974516226E-07,0.000630268815467388,0,0,0,0,0,0,package://tcb705l/meshes/tl_robot_link0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb705l/meshes/tl_robot_link0.STL,,底座 -1,tl_robot_link0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
tl_robot_link1,-2.82592835967246E-06,-0.0149440554612562,0.0760738628611228,0,0,0,0.188795049535535,0.000644330974536614,5.55804168467068E-08,-5.40921744937778E-08,0.000669839544820847,0.000101917330586459,0.000292784373513458,0,0,0,0,0,0,package://tcb705l/meshes/tl_robot_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb705l/meshes/tl_robot_link1.STL,,外壳 1-1,tl_robot_link1,"tl_robot_link1 ",tl_robot_joint1,revolute,0,0,0.12215,0,0,0,tl_robot_link0,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
tl_robot_link2,-4.20257383742726E-06,-0.19194400434504,-0.000180313359437804,0,0,0,0.528784681879454,0.00599971810886578,1.42660874273815E-07,5.33946684288784E-10,0.000724362027518048,-0.00053988079982275,0.00598246095196836,0,0,0,0,0,0,package://tcb705l/meshes/tl_robot_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb705l/meshes/tl_robot_link2.STL,,外壳 2-1;外壳 3-1,tl_robot_link2,"tl_robot_link2 ",tl_robot_joint2,revolute,0,0.00665,0.14085,-1.5708,0,0,tl_robot_link1,0,0,1,0,0,-2.3737,2.3737,,,,,,,,
tl_robot_link3,5.14309382409588E-06,0.016397275627194,0.085950743765835,0,0,0,0.168577493982053,0.000629527693750699,-2.01846512704536E-08,-6.31481179014002E-08,0.000646662243008361,-9.33674517466634E-05,0.000173965232232951,0,0,0,0,0,0,package://tcb705l/meshes/tl_robot_link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb705l/meshes/tl_robot_link3.STL,,外壳 4-1,tl_robot_link3,"tl_robot_link3 ",tl_robot_joint3,revolute,0,-0.35915,-0.00665,1.5708,0,0,tl_robot_link2,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
tl_robot_link4,4.67748622520898E-07,0.190684816385664,0.00158652388734265,0,0,0,0.422517069527334,0.00489098627866591,9.20095599114699E-08,2.35656254351612E-09,0.000427800317518501,0.000428033380752947,0.0048724694443363,0,0,0,0,0,0,package://tcb705l/meshes/tl_robot_link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb705l/meshes/tl_robot_link4.STL,,外壳 5-2;外壳 6-2,tl_robot_link4,"tl_robot_link4 ",tl_robot_joint4,revolute,0,-0.00515,0.16035,1.5708,0,0,tl_robot_link3,0,0,-1,0,0,-2.5656,2.5656,,,,,,,,
tl_robot_link5,5.11048107014162E-06,-0.0131445598574518,0.0626746043899866,0,0,0,0.0899817886682776,0.000204808490643616,1.16223792980809E-08,-4.07644803026248E-08,0.000207969738028478,3.60478115175274E-05,7.75189800155889E-05,0,0,0,0,0,0,package://tcb705l/meshes/tl_robot_link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb705l/meshes/tl_robot_link5.STL,,外壳 7-2,tl_robot_link5,"tl_robot_link5 ",tl_robot_joint5,revolute,0,0.36715,-0.00515,-1.5708,0,0,tl_robot_link4,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
tl_robot_link6,-1.29749982568617E-05,-0.0398707312600481,0.00873816110109462,0,0,0,0.0915266768417438,0.000167005961446363,3.62631342384466E-08,1.27355290609001E-08,8.0713041391208E-05,-3.15887030570802E-05,0.000170834721676797,0,0,0,0,0,0,package://tcb705l/meshes/tl_robot_link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb705l/meshes/tl_robot_link6.STL,,外壳 8-2,tl_robot_link6,"tl_robot_link6 ",tl_robot_joint6,revolute,0,0.00615,0.11335,-1.5708,0,0,tl_robot_link5,0,0,1,0,0,-2.2689,2.2689,,,,,,,,
tl_robot_link7,0.00038939749044996,-8.96781011563167E-05,0.0324677284602475,0,0,0,0.0756964619257995,5.73362607122953E-05,-1.00642148858379E-08,-3.24157450634543E-07,5.7604236883255E-05,1.43757533804165E-08,7.09157247329385E-05,0,0,0,0,0,0,package://tcb705l/meshes/tl_robot_link7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tcb705l/meshes/tl_robot_link7.STL,,末端-2,tl_robot_link7,"tl_robot_link7 ",tl_robot_joint7,revolute,0,-0.10615,-0.00615,1.5708,0,0,tl_robot_link6,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
